week_start,week_end,metric,ios,android
2026-01-19,2026-01-25,active_users,-,-
2026-01-26,2026-02-01,active_users,-,-
2026-02-02,2026-02-08,active_users,-,-
2026-02-09,2026-02-15,active_users,-,-
2026-02-16,2026-02-22,active_users,-,-
2026-02-23,2026-03-01,active_users,-,-
2026-03-02,2026-03-08,active_users,-,-
2026-01-19,2026-01-25,crash_free_user,-,-
2026-01-26,2026-02-01,crash_free_user,-,-
2026-02-02,2026-02-08,crash_free_user,-,-
2026-02-09,2026-02-15,crash_free_user,-,-
2026-02-16,2026-02-22,crash_free_user,-,-
2026-02-23,2026-03-01,crash_free_user,-,-
2026-03-02,2026-03-08,crash_free_user,-,-
2026-01-19,2026-01-25,downloads,-,-
2026-01-26,2026-02-01,downloads,-,-
2026-02-02,2026-02-08,downloads,-,-
2026-02-09,2026-02-15,downloads,-,-
2026-02-16,2026-02-22,downloads,-,-
2026-02-23,2026-03-01,downloads,-,-
2026-03-02,2026-03-08,downloads,-,-
2026-01-19,2026-01-25,rating,-,2.62
2026-01-26,2026-02-01,rating,-,3.18
2026-02-02,2026-02-08,rating,-,2.17
2026-02-09,2026-02-15,rating,-,2.54
2026-02-16,2026-02-22,rating,1.11,1.46
2026-02-23,2026-03-01,rating,1.41,2.29
2026-03-02,2026-03-08,rating,1.00,2.04
2026-01-19,2026-01-25,uninstalls,-,-
2026-01-26,2026-02-01,uninstalls,-,-
2026-02-02,2026-02-08,uninstalls,-,-
2026-02-09,2026-02-15,uninstalls,-,-
2026-02-16,2026-02-22,uninstalls,-,-
2026-02-23,2026-03-01,uninstalls,-,-
2026-03-02,2026-03-08,uninstalls,-,-
